transaction_id,customer_id,channel
TXN-700004,CUST-11461,UPI
TXN-700016,CUST-11175,UPI
TXN-700107,CUST-10646,UPI
TXN-700220,CUST-10333,UPI
TXN-700308,CUST-11462,UPI
TXN-700039,CUST-10368,UPI
TXN-700135,CUST-11139,UPI
TXN-700180,CUST-10579,UPI
TXN-700203,CUST-10848,UPI
TXN-700248,CUST-11376,UPI
TXN-700375,CUST-10537,UPI
TXN-700027,CUST-10303,UPI
TXN-700138,CUST-11354,UPI
TXN-700140,CUST-11181,UPI
TXN-700169,CUST-10344,UPI
TXN-700174,CUST-11227,UPI
TXN-700218,CUST-10594,UPI
TXN-700274,CUST-11141,UPI
TXN-700276,CUST-10525,UPI
TXN-700352,CUST-11312,UPI
TXN-700422,CUST-11352,UPI
TXN-700463,CUST-11308,UPI
TXN-700476,CUST-10281,UPI
TXN-700122,CUST-10613,UPI
TXN-700147,CUST-10693,UPI
TXN-700205,CUST-11003,UPI
TXN-700262,CUST-10751,UPI
TXN-700305,CUST-10949,UPI
TXN-700394,CUST-10242,UPI
TXN-700421,CUST-10419,UPI
TXN-700479,CUST-10657,UPI
TXN-700485,CUST-10221,UPI
TXN-700023,CUST-10321,UPI
TXN-700085,CUST-10082,UPI
TXN-700221,CUST-10607,UPI
TXN-700222,CUST-10617,UPI
TXN-700259,CUST-10830,UPI
TXN-700272,CUST-11454,UPI
TXN-700304,CUST-10214,UPI
TXN-700372,CUST-10312,UPI
TXN-700378,CUST-10276,UPI
TXN-700388,CUST-10998,UPI
TXN-700401,CUST-10923,UPI
TXN-700033,CUST-11298,UPI
TXN-700112,CUST-11355,UPI
TXN-700164,CUST-10520,UPI
TXN-700201,CUST-10340,UPI
TXN-700206,CUST-10199,UPI
TXN-700250,CUST-10434,UPI
TXN-700332,CUST-11453,UPI
TXN-700337,CUST-10199,UPI
TXN-700462,CUST-10229,UPI
TXN-700464,CUST-10266,UPI
TXN-700470,CUST-10843,UPI
TXN-700017,CUST-10289,UPI
TXN-700040,CUST-10989,UPI
TXN-700252,CUST-11477,UPI
TXN-700255,CUST-11256,UPI
TXN-700265,CUST-10023,UPI
TXN-700296,CUST-11297,UPI
TXN-700298,CUST-11396,UPI
TXN-700356,CUST-10993,UPI
TXN-700486,CUST-11167,UPI
TXN-700491,CUST-10880,UPI
TXN-700009,CUST-11067,UPI
TXN-700060,CUST-10467,UPI
TXN-700102,CUST-11268,UPI
TXN-700172,CUST-10572,UPI
TXN-700185,CUST-11235,UPI
TXN-700200,CUST-11129,UPI
TXN-700246,CUST-10908,UPI
TXN-700365,CUST-10407,UPI
TXN-700013,CUST-10911,UPI
TXN-700119,CUST-10284,UPI
TXN-700468,CUST-10293,UPI
TXN-700052,CUST-10401,UPI
TXN-700070,CUST-11004,UPI
TXN-700076,CUST-10148,UPI
TXN-700096,CUST-10173,UPI
TXN-700208,CUST-10803,UPI
TXN-700319,CUST-10772,UPI
TXN-700325,CUST-11445,UPI
TXN-700361,CUST-11316,UPI
TXN-700441,CUST-10166,UPI
TXN-700494,CUST-10330,UPI
TXN-700036,CUST-10484,UPI
TXN-700042,CUST-11286,UPI
TXN-700050,CUST-10815,UPI
TXN-700061,CUST-10828,UPI
TXN-700064,CUST-10135,UPI
TXN-700179,CUST-10391,UPI
TXN-700182,CUST-11230,UPI
TXN-700187,CUST-10256,UPI
TXN-700207,CUST-10353,UPI
TXN-700230,CUST-10901,UPI
TXN-700270,CUST-11254,UPI
TXN-700291,CUST-10414,UPI
TXN-700329,CUST-10125,UPI
TXN-700335,CUST-10581,UPI
TXN-700373,CUST-11149,UPI
