account_id,customer_id,remaining_balance,loan_type
ACC-50000,CUST-10989,,
ACC-50001,CUST-11189,,
ACC-50002,CUST-11270,,
ACC-50003,CUST-11153,,
ACC-50004,CUST-10094,,
ACC-50005,CUST-10138,,
ACC-50006,CUST-10737,,
ACC-50007,CUST-10588,,
ACC-50008,CUST-11290,,
ACC-50009,CUST-11334,,
ACC-50010,CUST-10131,,
ACC-50011,CUST-11112,,
ACC-50012,CUST-11074,,
ACC-50013,CUST-11319,,
ACC-50014,CUST-11129,,
ACC-50015,CUST-11267,,
ACC-50016,CUST-10759,,
ACC-50017,CUST-10534,,
ACC-50018,CUST-10449,60000,Home
ACC-50019,CUST-11042,,
ACC-50020,CUST-10757,,
ACC-50021,CUST-10285,,
ACC-50022,CUST-10396,,
ACC-50023,CUST-10071,,
ACC-50024,CUST-11432,,
ACC-50025,CUST-10180,,
ACC-50026,CUST-11450,,
ACC-50027,CUST-11106,,
ACC-50028,CUST-11311,,
ACC-50029,CUST-10944,0,Home
ACC-50030,CUST-10527,,
ACC-50031,CUST-10537,,
ACC-50032,CUST-10305,,
ACC-50033,CUST-11155,,
ACC-50034,CUST-10827,,
ACC-50035,CUST-10094,,
ACC-50036,CUST-10148,,
ACC-50037,CUST-10745,,
ACC-50038,CUST-11436,,
ACC-50039,CUST-10462,,
ACC-50040,CUST-10263,900000,Home
ACC-50041,CUST-10965,,
ACC-50042,CUST-11057,0,Auto
ACC-50043,CUST-10793,,
ACC-50044,CUST-10651,,
ACC-50045,CUST-10347,,
ACC-50046,CUST-11127,,
ACC-50047,CUST-10291,,
ACC-50048,CUST-10593,,
ACC-50049,CUST-10452,,
ACC-50050,CUST-10951,,
ACC-50051,CUST-11210,,
ACC-50052,CUST-10031,300000,Auto
ACC-50053,CUST-11433,,
ACC-50054,CUST-10806,,
ACC-50055,CUST-11486,,
ACC-50056,CUST-11248,,
ACC-50057,CUST-10050,3000000,Personal
ACC-50058,CUST-10573,0,Auto
ACC-50059,CUST-10266,,
ACC-50060,CUST-11008,,
ACC-50061,CUST-10150,0,Personal
ACC-50062,CUST-10349,,
ACC-50063,CUST-10603,,
ACC-50064,CUST-10948,,
ACC-50065,CUST-11306,,
ACC-50066,CUST-11190,,
ACC-50067,CUST-10617,,
ACC-50068,CUST-11489,300000,Auto
ACC-50069,CUST-11380,3000000,Personal
ACC-50070,CUST-10406,,
ACC-50071,CUST-10149,,
ACC-50072,CUST-10594,,
ACC-50073,CUST-10433,,
ACC-50074,CUST-11343,,
ACC-50075,CUST-11187,3000000,Personal
ACC-50076,CUST-10666,,
ACC-50077,CUST-11262,0,Home
ACC-50078,CUST-10919,,
ACC-50079,CUST-10656,,
ACC-50080,CUST-10084,,
ACC-50081,CUST-11254,300000,Home
ACC-50082,CUST-10726,,
ACC-50083,CUST-10896,,
ACC-50084,CUST-10596,,
ACC-50085,CUST-10289,,
ACC-50086,CUST-10738,,
ACC-50087,CUST-11261,,
ACC-50088,CUST-11228,,
ACC-50089,CUST-10465,,
ACC-50090,CUST-10573,0,Auto
ACC-50091,CUST-10358,,
ACC-50092,CUST-10791,0,Home
ACC-50093,CUST-10634,,
ACC-50094,CUST-10920,,
ACC-50095,CUST-10779,,
ACC-50096,CUST-11249,,
ACC-50097,CUST-10890,,
ACC-50098,CUST-10503,,
ACC-50099,CUST-10833,,
ACC-50100,CUST-11020,,
ACC-50101,CUST-11232,,
ACC-50102,CUST-11445,,
ACC-50103,CUST-10793,,
ACC-50104,CUST-11129,,
ACC-50105,CUST-11205,,
ACC-50106,CUST-11222,,
ACC-50107,CUST-10832,,
ACC-50108,CUST-10826,,
ACC-50109,CUST-10958,,
ACC-50110,CUST-10294,,
ACC-50111,CUST-10959,,
ACC-50112,CUST-11320,,
ACC-50113,CUST-11077,,
ACC-50114,CUST-10560,300000,Personal
ACC-50115,CUST-10256,,
ACC-50116,CUST-10967,,
ACC-50117,CUST-11035,,
ACC-50118,CUST-11102,,
ACC-50119,CUST-11328,0,Auto
ACC-50120,CUST-10861,,
ACC-50121,CUST-10083,,
ACC-50122,CUST-10769,,
ACC-50123,CUST-10182,0,Personal
ACC-50124,CUST-10317,900000,Personal
ACC-50125,CUST-10523,,
ACC-50126,CUST-11395,,
ACC-50127,CUST-11457,,
ACC-50128,CUST-11487,,
ACC-50129,CUST-10428,0,Personal
ACC-50130,CUST-11394,,
ACC-50131,CUST-10061,,
ACC-50132,CUST-11293,,
ACC-50133,CUST-10650,,
ACC-50134,CUST-10476,0,Personal
ACC-50135,CUST-11322,,
ACC-50136,CUST-10011,,
ACC-50137,CUST-11092,0,Home
ACC-50138,CUST-10088,,
ACC-50139,CUST-10054,,
ACC-50140,CUST-11337,,
ACC-50141,CUST-10461,,
ACC-50142,CUST-11392,,
ACC-50143,CUST-11185,,
ACC-50144,CUST-10923,,
ACC-50145,CUST-10885,,
ACC-50146,CUST-11176,,
ACC-50147,CUST-10056,,
ACC-50148,CUST-11463,0,Personal
ACC-50149,CUST-11136,,
ACC-50150,CUST-11119,,
ACC-50151,CUST-10667,,
ACC-50152,CUST-11351,0,Home
ACC-50153,CUST-10750,,
ACC-50154,CUST-10818,,
ACC-50155,CUST-11131,0,Personal
ACC-50156,CUST-10379,,
ACC-50157,CUST-10917,,
ACC-50158,CUST-11250,,
ACC-50159,CUST-11225,300000,Auto
ACC-50160,CUST-10956,300000,Home
ACC-50161,CUST-10334,,
ACC-50162,CUST-10182,0,Personal
ACC-50163,CUST-10059,,
ACC-50164,CUST-11303,,
ACC-50165,CUST-11147,,
ACC-50166,CUST-10161,,
ACC-50167,CUST-10250,,
ACC-50168,CUST-11022,,
ACC-50169,CUST-11495,,
ACC-50170,CUST-11151,,
ACC-50171,CUST-11127,,
ACC-50172,CUST-11072,300000,Auto
ACC-50173,CUST-10142,,
ACC-50174,CUST-11462,,
ACC-50175,CUST-10252,,
ACC-50176,CUST-10332,,
ACC-50177,CUST-10172,,
ACC-50178,CUST-10451,,
ACC-50179,CUST-10062,,
ACC-50180,CUST-10602,,
ACC-50181,CUST-10456,,
ACC-50182,CUST-10014,,
ACC-50183,CUST-10935,,
ACC-50184,CUST-10066,,
ACC-50185,CUST-11311,,
ACC-50186,CUST-11396,,
ACC-50187,CUST-11023,,
ACC-50188,CUST-10703,60000,Personal
ACC-50189,CUST-11072,300000,Auto
ACC-50190,CUST-10309,,
ACC-50191,CUST-10356,,
ACC-50192,CUST-11269,,
ACC-50193,CUST-10063,,
ACC-50194,CUST-11365,,
ACC-50195,CUST-10091,,
ACC-50196,CUST-10828,,
ACC-50197,CUST-10826,,
ACC-50198,CUST-10171,,
ACC-50199,CUST-11023,,
ACC-50200,CUST-10020,,
ACC-50201,CUST-11408,,
ACC-50202,CUST-10697,,
ACC-50203,CUST-10764,,
ACC-50204,CUST-10420,,
ACC-50205,CUST-10894,,
ACC-50206,CUST-11033,,
ACC-50207,CUST-11468,,
ACC-50208,CUST-10893,,
ACC-50209,CUST-10496,,
ACC-50210,CUST-10490,,
ACC-50211,CUST-10084,,
ACC-50212,CUST-10356,,
ACC-50213,CUST-10598,,
ACC-50214,CUST-11171,300000,Auto
ACC-50215,CUST-11254,300000,Home
ACC-50216,CUST-11168,,
ACC-50217,CUST-11124,0,Auto
ACC-50218,CUST-11223,,
ACC-50219,CUST-10020,,
ACC-50220,CUST-10235,,
ACC-50221,CUST-11418,,
ACC-50222,CUST-11111,3000000,Home
ACC-50223,CUST-10928,,
ACC-50224,CUST-10568,,
ACC-50225,CUST-10326,,
ACC-50226,CUST-10129,,
ACC-50227,CUST-11473,,
ACC-50228,CUST-10603,,
ACC-50229,CUST-10458,,
ACC-50230,CUST-10881,,
ACC-50231,CUST-10582,,
ACC-50232,CUST-11414,900000,Personal
ACC-50233,CUST-11327,,
ACC-50234,CUST-10976,0,Home
ACC-50235,CUST-10296,,
ACC-50236,CUST-11194,,
ACC-50237,CUST-10557,,
ACC-50238,CUST-10073,,
ACC-50239,CUST-11380,3000000,Personal
ACC-50240,CUST-10595,,
ACC-50241,CUST-10874,0,Home
ACC-50242,CUST-11360,,
ACC-50243,CUST-10220,,
ACC-50244,CUST-11389,,
ACC-50245,CUST-10762,,
ACC-50246,CUST-10587,,
ACC-50247,CUST-11121,,
ACC-50248,CUST-11434,,
ACC-50249,CUST-11230,,
