account_id,customer_id,available_balance,kyc_status
ACC-51451,CUST-10989,213001,
ACC-50001,CUST-11189,58904.59,
ACC-50002,CUST-11270,231535.81,
ACC-50003,CUST-11153,131532.01,
ACC-50004,CUST-10094,168042.66,Verified
ACC-50005,CUST-10138,1569.91,Failed
ACC-50006,CUST-10737,55254.24,
ACC-50870,CUST-10588,155316.28,
ACC-50008,CUST-11290,118928.22,
ACC-50009,CUST-11334,187138.93,
ACC-50010,CUST-10131,112087.48,Verified
ACC-50011,CUST-11112,117834.98,
ACC-50651,CUST-11074,31452.78,
ACC-50927,CUST-11319,73653.37,
ACC-51164,CUST-11129,232495.93,
ACC-50015,CUST-11267,68813.78,
ACC-50016,CUST-10759,116708.74,
ACC-50017,CUST-10534,115362.79,
ACC-50018,CUST-10449,206524.66,
ACC-50019,CUST-11042,164002.74,
ACC-51484,CUST-10757,35337.17,
ACC-50021,CUST-10285,79380.28,
ACC-50022,CUST-10396,62684.07,
ACC-50023,CUST-10071,207299.45,Verified
ACC-50024,CUST-11432,197628.78,
ACC-50025,CUST-10180,193526.01,Verified
ACC-50026,CUST-11450,166047.87,
ACC-50027,CUST-11106,83850.94,
ACC-50028,CUST-11311,176916.19,
ACC-50029,CUST-10944,18107.66,
ACC-50030,CUST-10527,112383.73,
ACC-50031,CUST-10537,16342.47,
ACC-50032,CUST-10305,150217.55,
ACC-50033,CUST-11155,166440.08,
ACC-50034,CUST-10827,157940.8,
ACC-50035,CUST-10094,168237.05,Verified
ACC-50847,CUST-10148,53955.14,Verified
ACC-50037,CUST-10745,207497.44,
ACC-50038,CUST-11436,218496.99,
ACC-50039,CUST-10462,226491.27,
ACC-50040,CUST-10263,154407.84,
ACC-50041,CUST-10965,46636.67,
ACC-50042,CUST-11057,-1470,
ACC-50043,CUST-10793,171206.46,
ACC-50044,CUST-10651,224865.76,
ACC-50045,CUST-10347,130855.27,
ACC-50046,CUST-11127,2040.03,
ACC-50047,CUST-10291,173410.77,
ACC-50048,CUST-10593,57737.52,
ACC-50049,CUST-10452,49008.39,
ACC-50050,CUST-10951,61176.34,
ACC-50051,CUST-11210,167341.43,
ACC-50052,CUST-10031,111292.99,Failed
ACC-50053,CUST-11433,79463.44,
ACC-50054,CUST-10806,104366.71,
ACC-50055,CUST-11486,102406.51,
ACC-50170,CUST-11248,192265.52,
ACC-50057,CUST-10050,207209.71,Verified
ACC-50058,CUST-10573,37240.69,
ACC-50059,CUST-10266,20155.45,
ACC-50060,CUST-11008,220437.45,
ACC-50061,CUST-10150,218348.46,Pending
ACC-50062,CUST-10349,112076.17,
ACC-50063,CUST-10603,77750.31,
ACC-50064,CUST-10948,21778.81,
ACC-50065,CUST-11306,82117.83,
ACC-50066,CUST-11190,27920.94,
ACC-51088,CUST-10617,17335.86,
ACC-50068,CUST-11489,4911.57,
ACC-50069,CUST-11380,129706.98,
ACC-50070,CUST-10406,128153.88,
ACC-50071,CUST-10149,56505.05,Failed
ACC-51442,CUST-10594,145966.3,
ACC-50073,CUST-10433,13538.2,
ACC-50074,CUST-11343,97057.17,
ACC-50075,CUST-11187,29273.87,
ACC-50076,CUST-10666,82090.56,
ACC-50077,CUST-11262,118189.58,
ACC-50078,CUST-10919,209142.91,
ACC-50272,CUST-10656,143780.28,
ACC-51475,CUST-10084,91700.06,Pending
ACC-50081,CUST-11254,195810.65,
ACC-50082,CUST-10726,147689.16,
ACC-51249,CUST-10896,109160.56,
ACC-50084,CUST-10596,35264.7,
ACC-50985,CUST-10289,1681.84,
ACC-50086,CUST-10738,23018.39,
ACC-50087,CUST-11261,26190.09,
ACC-50088,CUST-11228,169415.44,
ACC-50089,CUST-10465,150329.6,
ACC-50090,CUST-10573,220381.5,
ACC-50091,CUST-10358,222871.45,
ACC-50092,CUST-10791,93135.48,
ACC-50093,CUST-10634,212099.21,
ACC-50094,CUST-10920,13964.45,
ACC-51068,CUST-10779,56522.38,
ACC-50096,CUST-11249,106557.38,
ACC-50097,CUST-10890,189836.35,
ACC-50098,CUST-10503,6733.04,
ACC-50099,CUST-10833,128416.7,
ACC-50100,CUST-11020,185540.82,
ACC-50101,CUST-11232,70208.98,
ACC-50102,CUST-11445,2834.13,
ACC-50103,CUST-10793,200568.02,
ACC-51164,CUST-11129,147827.07,
ACC-50105,CUST-11205,29272.31,
ACC-50106,CUST-11222,55535.16,
ACC-50107,CUST-10832,209502.45,
ACC-50108,CUST-10826,115923.35,
ACC-50109,CUST-10958,204515.38,
ACC-50110,CUST-10294,52274.78,
ACC-50111,CUST-10959,154635.79,
ACC-50112,CUST-11320,57470.56,
ACC-50113,CUST-11077,117029.79,
ACC-50114,CUST-10560,10605.23,
ACC-51026,CUST-10256,160365.18,
ACC-50116,CUST-10967,42817.22,
ACC-50117,CUST-11035,52020.75,
ACC-50118,CUST-11102,211061.66,
ACC-50119,CUST-11328,139210.29,
ACC-50120,CUST-10861,2923.18,
ACC-50121,CUST-10083,60964.18,Failed
ACC-50122,CUST-10769,198384.47,
ACC-50123,CUST-10182,47093.49,Verified
ACC-50124,CUST-10317,59707.01,
ACC-50125,CUST-10523,84697.88,
ACC-50126,CUST-11395,243725.17,
ACC-51109,CUST-11457,148516.58,
ACC-50128,CUST-11487,15736.89,
ACC-50129,CUST-10428,165692.21,
ACC-50130,CUST-11394,212482.97,
ACC-50131,CUST-10061,43530.23,Failed
ACC-50132,CUST-11293,229124.46,
ACC-50133,CUST-10650,133719.03,
ACC-50134,CUST-10476,8393.72,
ACC-50135,CUST-11322,76402.58,
ACC-50136,CUST-10011,223933.57,Pending
ACC-50137,CUST-11092,22740.45,
ACC-50138,CUST-10088,97579.03,Pending
ACC-50139,CUST-10054,237835.26,Verified
ACC-50973,CUST-11337,165295.56,
ACC-50141,CUST-10461,169341.39,
ACC-50142,CUST-11392,235765.92,
ACC-50143,CUST-11185,207359.3,
ACC-50144,CUST-10923,15755.35,
ACC-50145,CUST-10885,222842.7,
ACC-50146,CUST-11176,41137.16,
ACC-50147,CUST-10056,6674.36,Verified
ACC-50148,CUST-11463,26910.3,
ACC-50149,CUST-11136,17527.29,
ACC-50150,CUST-11119,95982.88,
ACC-50151,CUST-10667,72030.63,
ACC-50152,CUST-11351,108342.61,
ACC-50153,CUST-10750,130157.54,
ACC-50154,CUST-10818,119052.87,
ACC-50723,CUST-11131,239687.46,
ACC-50156,CUST-10379,138614.49,
ACC-50157,CUST-10917,58887.62,
ACC-50158,CUST-11250,182710.48,
ACC-50159,CUST-11225,238585.92,
ACC-50160,CUST-10956,4113.82,
ACC-50161,CUST-10334,147177.2,
ACC-50162,CUST-10182,50943.87,Verified
ACC-50627,CUST-10059,33104.28,Verified
ACC-50164,CUST-11303,109837.36,
ACC-50165,CUST-11147,122666.48,
ACC-50166,CUST-10161,159030.15,Verified
ACC-51481,CUST-10250,133209.93,
ACC-50168,CUST-11022,3166.31,
ACC-50169,CUST-11495,129148.61,
ACC-50170,CUST-11151,216559.27,
ACC-50171,CUST-11127,86191.29,
ACC-50172,CUST-11072,28200.34,
ACC-50173,CUST-10142,216270.94,Verified
ACC-50174,CUST-11462,127183.77,
ACC-50961,CUST-10252,195444.48,
ACC-50176,CUST-10332,9642.99,
ACC-51191,CUST-10172,107884.88,Pending
ACC-50178,CUST-10451,82420.96,
ACC-50179,CUST-10062,95697.79,Verified
ACC-50180,CUST-10602,239754.98,
ACC-50959,CUST-10456,133856.06,
ACC-50182,CUST-10014,40830.46,Verified
ACC-50183,CUST-10935,236159.24,
ACC-50184,CUST-10066,117098.21,Pending
ACC-50185,CUST-11311,86142.34,
ACC-50926,CUST-11396,223880.5,
ACC-50187,CUST-11023,16467.62,
ACC-50188,CUST-10703,48593.41,
ACC-50189,CUST-11072,181726.94,
ACC-50190,CUST-10309,10491.8,
ACC-50191,CUST-10356,59434.6,
ACC-50192,CUST-11269,66250.78,
ACC-50193,CUST-10063,25902,Verified
ACC-50194,CUST-11365,206502.99,
ACC-50195,CUST-10091,196564.03,Failed
ACC-50930,CUST-10828,123296.83,
ACC-50197,CUST-10826,203316.99,
ACC-51218,CUST-10171,198901.58,Verified
ACC-50199,CUST-11023,162813.89,
ACC-50200,CUST-10020,80251.54,Verified
ACC-50201,CUST-11408,242347.45,
ACC-50202,CUST-10697,10694.6,
ACC-50203,CUST-10764,1200.01,
ACC-50204,CUST-10420,189562.19,
ACC-50205,CUST-10894,125135.12,
ACC-50206,CUST-11033,45432.22,
ACC-50207,CUST-11468,75450.04,
ACC-50208,CUST-10893,41114.33,
ACC-50209,CUST-10496,228454.85,
ACC-50210,CUST-10490,117567.25,
ACC-51475,CUST-10084,229176.04,Pending
ACC-50212,CUST-10356,776.97,
ACC-50213,CUST-10598,74828.42,
ACC-50214,CUST-11171,200041.86,
ACC-50215,CUST-11254,125406.06,
ACC-50216,CUST-11168,16154.55,
ACC-50587,CUST-11124,27746.05,
ACC-50218,CUST-11223,91318.49,
ACC-50219,CUST-10020,132937.53,Verified
ACC-50220,CUST-10235,224157.51,Failed
ACC-50221,CUST-11418,223098.52,
ACC-50222,CUST-11111,61419.01,
ACC-50223,CUST-10928,215611.69,
ACC-50224,CUST-10568,228217.74,
ACC-50225,CUST-10326,14179.16,
ACC-50919,CUST-10129,144343.03,Verified
ACC-50227,CUST-11473,62965.34,
ACC-50228,CUST-10603,171198.11,
ACC-50229,CUST-10458,117155.65,
ACC-50230,CUST-10881,227881.63,
ACC-50231,CUST-10582,148680.78,
ACC-50232,CUST-11414,156838.15,
ACC-50523,CUST-11327,170522.58,
ACC-50234,CUST-10976,231882.22,
ACC-50235,CUST-10296,132450.02,
ACC-50236,CUST-11194,45706.81,
ACC-50237,CUST-10557,221162,
ACC-50238,CUST-10073,108167.17,Failed
ACC-50239,CUST-11380,73377.18,
ACC-50240,CUST-10595,84604.62,
ACC-50241,CUST-10874,219567.36,
ACC-50242,CUST-11360,156666.89,
ACC-50243,CUST-10220,59573.15,Pending
ACC-50244,CUST-11389,237241.65,
ACC-50245,CUST-10762,82603.44,
ACC-50246,CUST-10587,88709.84,
ACC-50247,CUST-11121,101472.31,
ACC-50248,CUST-11434,163520.33,
ACC-50193,CUST-11230,188286.67,
