account_id,customer_id,current_balance,timestamp,status
ACC-51451,CUST-10989,217347.96,2026-05-15 17:31:59,Failed
ACC-50001,CUST-11189,60106.72,,
ACC-50002,CUST-11270,236261.03,,
ACC-50003,CUST-11153,134216.34,,
ACC-50494,CUST-10094,171472.1,2026-05-21 09:08:59,Flagged
ACC-50005,CUST-10138,1601.95,,
ACC-50006,CUST-10737,56381.88,,
ACC-50870,CUST-10588,158486,2026-05-04 05:05:59,Success
ACC-50008,CUST-11290,121355.33,,
ACC-50009,CUST-11334,190958.09,,
ACC-50010,CUST-10131,114374.98,,
ACC-50736,CUST-11112,120239.78,2026-05-01 02:54:59,Failed
ACC-50651,CUST-11074,32094.67,2026-04-24 03:59:59,Failed
ACC-50927,CUST-11319,75156.5,2026-05-21 11:08:59,Flagged
ACC-51164,CUST-11129,237240.75,2026-05-11 07:07:59,Flagged
ACC-50015,CUST-11267,70218.14,,
ACC-51053,CUST-10759,119090.55,2026-05-23 10:53:59,Success
ACC-50017,CUST-10534,117717.13,,
ACC-50018,CUST-10449,210739.45,,
ACC-50019,CUST-11042,167349.73,,
ACC-51484,CUST-10757,36058.34,2026-05-07 04:00:59,Success
ACC-50021,CUST-10285,81000.29,,
ACC-50022,CUST-10396,63963.34,,
ACC-50128,CUST-10071,211530.05,2026-05-02 00:20:59,Success
ACC-50024,CUST-11432,201662.02,,
ACC-50025,CUST-10180,197475.52,,
ACC-50026,CUST-11450,169436.6,,
ACC-51396,CUST-11106,85562.18,2026-05-17 05:38:59,Success
ACC-50028,CUST-11311,180526.72,,
ACC-50029,CUST-10944,18477.2,,
ACC-50030,CUST-10527,114677.28,,
ACC-50945,CUST-10537,16675.99,2026-04-30 00:03:59,Success
ACC-50032,CUST-10305,153283.21,,
ACC-50033,CUST-11155,169836.82,,
ACC-50034,CUST-10827,161164.08,,
ACC-50494,CUST-10094,171670.46,2026-05-21 09:08:59,Flagged
ACC-50847,CUST-10148,55056.27,2026-05-14 17:34:59,Success
ACC-50037,CUST-10745,211732.08,,
ACC-50038,CUST-11436,222956.11,,
ACC-50637,CUST-10462,231113.54,2026-05-17 03:39:59,Failed
ACC-50040,CUST-10263,157559.02,,
ACC-50041,CUST-10965,47588.44,,
ACC-50901,CUST-11057,-1500,2026-05-23 02:16:59,Failed
ACC-50043,CUST-10793,174700.47,,
ACC-51116,CUST-10651,229454.86,2026-05-16 06:46:59,Success
ACC-51426,CUST-10347,133525.79,2026-05-05 21:09:59,Failed
ACC-50046,CUST-11127,2081.66,,
ACC-50047,CUST-10291,176949.77,,
ACC-50048,CUST-10593,58915.84,,
ACC-50049,CUST-10452,50008.56,,
ACC-50050,CUST-10951,62424.84,,
ACC-50051,CUST-11210,170756.56,,
ACC-50052,CUST-10031,113564.28,,
ACC-50053,CUST-11433,81085.14,,
ACC-50054,CUST-10806,106496.64,,
ACC-50055,CUST-11486,104496.44,,
ACC-50170,CUST-11248,196189.31,2026-04-28 16:13:59,Success
ACC-50057,CUST-10050,211438.48,,
ACC-50058,CUST-10573,38000.7,,
ACC-50977,CUST-10266,20566.79,2026-04-28 00:25:59,Success
ACC-51359,CUST-11008,224936.17,2026-05-20 07:29:59,Success
ACC-50972,CUST-10150,222804.55,2026-05-11 01:55:59,Success
ACC-50062,CUST-10349,114363.44,,
ACC-50063,CUST-10603,79337.05,,
ACC-50064,CUST-10948,22223.28,,
ACC-50065,CUST-11306,83793.7,,
ACC-50066,CUST-11190,28490.75,,
ACC-51088,CUST-10617,17689.65,2026-05-03 12:18:59,Success
ACC-50068,CUST-11489,5011.81,,
ACC-50069,CUST-11380,132354.06,,
ACC-50070,CUST-10406,130769.27,,
ACC-50071,CUST-10149,57658.21,,
ACC-51442,CUST-10594,148945.2,2026-05-12 22:24:59,Success
ACC-50073,CUST-10433,13814.49,,
ACC-50074,CUST-11343,99037.93,,
ACC-51181,CUST-11187,29871.3,2026-05-01 10:11:59,Failed
ACC-51388,CUST-10666,83765.88,2026-05-06 05:07:59,Success
ACC-50077,CUST-11262,120601.61,,
ACC-50315,CUST-10919,213411.13,2026-05-11 11:54:59,Failed
ACC-50272,CUST-10656,146714.57,2026-05-21 08:05:59,Success
ACC-51475,CUST-10084,93571.49,2026-04-30 21:47:59,Success
ACC-50967,CUST-11254,199806.79,2026-05-16 03:44:59,Success
ACC-50082,CUST-10726,150703.22,,
ACC-51249,CUST-10896,111388.33,2026-05-17 12:08:59,Success
ACC-50084,CUST-10596,35984.39,,
ACC-50985,CUST-10289,1716.16,2026-04-24 08:20:59,Success
ACC-50086,CUST-10738,23488.15,,
ACC-50087,CUST-11261,26724.58,,
ACC-50690,CUST-11228,172872.9,2026-04-27 15:44:59,Flagged
ACC-50323,CUST-10465,153397.55,2026-04-26 07:11:59,Success
ACC-50090,CUST-10573,224879.08,,
ACC-50091,CUST-10358,227419.85,,
ACC-50092,CUST-10791,95036.2,,
ACC-50093,CUST-10634,216427.77,,
ACC-50206,CUST-10920,14249.44,2026-04-23 23:23:59,Success
ACC-51068,CUST-10779,57675.9,2026-04-28 21:40:59,Flagged
ACC-50096,CUST-11249,108732.02,,
ACC-50097,CUST-10890,193710.56,,
ACC-50098,CUST-10503,6870.45,,
ACC-50099,CUST-10833,131037.45,,
ACC-50100,CUST-11020,189327.37,,
ACC-50101,CUST-11232,71641.82,,
ACC-51265,CUST-11445,2891.97,2026-05-18 01:00:59,Failed
ACC-50103,CUST-10793,204661.24,,
ACC-51164,CUST-11129,150843.95,2026-05-11 07:07:59,Flagged
ACC-50105,CUST-11205,29869.7,,
ACC-50106,CUST-11222,56668.53,,
ACC-50107,CUST-10832,213778.01,,
ACC-50108,CUST-10826,118289.13,,
ACC-50109,CUST-10958,208689.16,,
ACC-50110,CUST-10294,53341.61,,
ACC-50111,CUST-10959,157791.62,,
ACC-50112,CUST-11320,58643.43,,
ACC-50113,CUST-11077,119418.15,,
ACC-51498,CUST-10560,10821.66,2026-04-25 05:31:59,Success
ACC-51026,CUST-10256,163637.94,2026-04-28 01:00:59,Success
ACC-50116,CUST-10967,43691.04,,
ACC-50117,CUST-11035,53082.4,,
ACC-50118,CUST-11102,215369.04,,
ACC-50119,CUST-11328,142051.32,,
ACC-50120,CUST-10861,2982.84,,
ACC-50121,CUST-10083,62208.35,,
ACC-50122,CUST-10769,202433.13,,
ACC-50123,CUST-10182,48054.58,,
ACC-50124,CUST-10317,60925.52,,
ACC-50125,CUST-10523,86426.41,,
ACC-51052,CUST-11395,248699.15,2026-04-29 17:40:59,Success
ACC-51109,CUST-11457,151547.53,2026-05-17 17:26:59,Flagged
ACC-50128,CUST-11487,16058.05,,
ACC-50129,CUST-10428,169073.68,,
ACC-50130,CUST-11394,216819.36,,
ACC-50131,CUST-10061,44418.6,,
ACC-50132,CUST-11293,233800.47,,
ACC-50014,CUST-10650,136447.99,2026-05-08 04:38:59,Success
ACC-50134,CUST-10476,8565.02,,
ACC-50135,CUST-11322,77961.82,,
ACC-50136,CUST-10011,228503.64,,
ACC-50137,CUST-11092,23204.54,,
ACC-50138,CUST-10088,99570.44,,
ACC-50139,CUST-10054,242689.04,,
ACC-50973,CUST-11337,168668.94,2026-04-28 13:56:59,Success
ACC-50141,CUST-10461,172797.34,,
ACC-50142,CUST-11392,240577.47,,
ACC-50143,CUST-11185,211591.12,,
ACC-51373,CUST-10923,16076.89,2026-05-18 16:54:59,Success
ACC-50145,CUST-10885,227390.51,,
ACC-50146,CUST-11176,41976.69,,
ACC-50147,CUST-10056,6810.57,,
