account_id,customer_id,remaining_balance
ACC-50000,CUST-10989,
ACC-50001,CUST-11189,
ACC-50002,CUST-11270,
ACC-50003,CUST-11153,
ACC-50004,CUST-10094,
ACC-50005,CUST-10138,
ACC-50006,CUST-10737,
ACC-50007,CUST-10588,
ACC-50008,CUST-11290,
ACC-50009,CUST-11334,
ACC-50010,CUST-10131,
ACC-50011,CUST-11112,
ACC-50012,CUST-11074,
ACC-50013,CUST-11319,
ACC-50014,CUST-11129,
ACC-50015,CUST-11267,
ACC-50016,CUST-10759,
ACC-50017,CUST-10534,
ACC-50018,CUST-10449,
ACC-50019,CUST-11042,
ACC-50020,CUST-10757,
ACC-50021,CUST-10285,
ACC-50022,CUST-10396,
ACC-50023,CUST-10071,
ACC-50024,CUST-11432,
ACC-50025,CUST-10180,
ACC-50026,CUST-11450,
ACC-50027,CUST-11106,
ACC-50028,CUST-11311,
ACC-50029,CUST-10944,
ACC-50030,CUST-10527,
ACC-50031,CUST-10537,
ACC-50032,CUST-10305,
ACC-50033,CUST-11155,
ACC-50034,CUST-10827,
ACC-50035,CUST-10094,
ACC-50036,CUST-10148,
ACC-50037,CUST-10745,
ACC-50038,CUST-11436,
ACC-50039,CUST-10462,
ACC-50040,CUST-10263,900000
ACC-50041,CUST-10965,
ACC-50042,CUST-11057,0
ACC-50043,CUST-10793,
ACC-50044,CUST-10651,
ACC-50045,CUST-10347,
ACC-50046,CUST-11127,
ACC-50047,CUST-10291,
ACC-50048,CUST-10593,
ACC-50049,CUST-10452,
ACC-50050,CUST-10951,
ACC-50051,CUST-11210,
ACC-50052,CUST-10031,
ACC-50053,CUST-11433,
ACC-50054,CUST-10806,
ACC-50055,CUST-11486,
ACC-50056,CUST-11248,
ACC-50057,CUST-10050,3000000
ACC-50058,CUST-10573,0
ACC-50059,CUST-10266,
ACC-50060,CUST-11008,
ACC-50061,CUST-10150,0
ACC-50062,CUST-10349,
ACC-50063,CUST-10603,
ACC-50064,CUST-10948,
ACC-50065,CUST-11306,
ACC-50066,CUST-11190,
ACC-50067,CUST-10617,
ACC-50068,CUST-11489,
ACC-50069,CUST-11380,
ACC-50070,CUST-10406,
ACC-50071,CUST-10149,
ACC-50072,CUST-10594,
ACC-50073,CUST-10433,
ACC-50074,CUST-11343,
ACC-50075,CUST-11187,
ACC-50076,CUST-10666,
ACC-50077,CUST-11262,0
ACC-50078,CUST-10919,
ACC-50079,CUST-10656,
ACC-50080,CUST-10084,
ACC-50081,CUST-11254,
ACC-50082,CUST-10726,
ACC-50083,CUST-10896,
ACC-50084,CUST-10596,
ACC-50085,CUST-10289,
ACC-50086,CUST-10738,
ACC-50087,CUST-11261,
ACC-50088,CUST-11228,
ACC-50089,CUST-10465,
ACC-50090,CUST-10573,0
ACC-50091,CUST-10358,
ACC-50092,CUST-10791,
ACC-50093,CUST-10634,
ACC-50094,CUST-10920,
ACC-50095,CUST-10779,
ACC-50096,CUST-11249,
ACC-50097,CUST-10890,
ACC-50098,CUST-10503,
ACC-50099,CUST-10833,
