customer_id,current_balance,amount,kyc_status,tenure_months,remaining_balance,loan_status
CUST-11290,121355.33,,,,,
CUST-10537,16675.99,3370.05,,,,
CUST-10793,174700.47,,,,,
CUST-10291,176949.77,,,,,
CUST-10593,58915.84,,,,,
CUST-10726,150703.22,,,,,
CUST-10738,23488.15,,,,,
CUST-10083,62208.35,,,,,
CUST-11293,233800.47,,,,,
CUST-10650,136447.99,26475.07,,,,
CUST-11136,17884.99,,,,,
CUST-11351,110553.68,,,,,
CUST-10014,41663.73,,,,,
CUST-10828,125813.09,,,,,
CUST-10020,81889.33,,,,,
CUST-10496,233117.19,,Failed,,,
CUST-11434,166857.48,,,,,
CUST-11063,40972.28,,,,,
CUST-10130,87172.89,,,,,
CUST-10427,169730.23,,,,,
CUST-10731,122023.03,,,,,
CUST-11449,225999.55,,,,,
CUST-11281,224283.72,,,,,
CUST-10133,70095.54,,,,,
CUST-11324,199954.19,,,,,
CUST-11238,139378.49,,,,,
CUST-10749,203260.38,,,,,
CUST-10094,171472.1,,,,,
CUST-11129,237240.75,,,,,
CUST-11450,169436.6,,,,,
CUST-10745,211732.08,,,,,
CUST-11436,222956.11,,,,,
CUST-10358,227419.85,,,,,
CUST-10832,213778.01,,,,,
CUST-11392,240577.47,,,,,
CUST-10923,16076.89,,,,,
CUST-11176,41976.69,,,,,
CUST-10697,10912.86,,,,,
CUST-10928,220011.93,,,,,
CUST-10129,147288.81,,,,,
CUST-11327,174002.63,,,,,
CUST-11395,32375.38,,,,,
CUST-10706,237793.93,,,,,
CUST-11238,187660.08,,,,,
CUST-10038,105338.17,,,,,
CUST-11257,21060.3,,,,,
CUST-10295,38760.97,,,,,
CUST-11294,96897.58,,,,,
CUST-10498,210477.7,,Verified,,,
CUST-10091,101454.3,,,,,
CUST-10394,157854.95,,Failed,,,
CUST-10805,68085.31,,,,,
CUST-10547,164346.02,,,,,
CUST-11067,222730.92,,,,,
CUST-10638,246536.99,,,,,
CUST-10328,171963.9,6975.52,,,,
CUST-10932,146099.7,,,,,
CUST-10534,117717.13,,,,,
CUST-11042,167349.73,,,,,
CUST-11190,28490.75,,,,,
CUST-10149,57658.21,,,,,
CUST-10503,6870.45,,,,,
CUST-11119,97941.71,,,,,
CUST-10750,132813.82,,,,,
CUST-10334,150180.82,,,,,
CUST-11022,3230.93,,,,,
CUST-11269,67602.84,,,,,
CUST-11111,62672.46,,,,,
CUST-10881,232532.28,,,,,
CUST-10853,200724.88,,,,,
CUST-11004,179168.23,,,,,
CUST-10106,197082.61,,,,,
CUST-10081,48559.9,,Verified,,,
CUST-11127,7547.28,,,,,
CUST-10167,212252.25,,Failed,,,
CUST-11327,103803.01,,,,,
CUST-10735,112715.85,,,,,
CUST-11357,123464.73,11564,,,,
CUST-10316,12010.39,,,,,
CUST-10071,211530.05,,Verified,,,
CUST-10180,197475.52,,Verified,,,
CUST-10527,114677.28,,,,,
CUST-10263,157559.02,,Verified,12,300000,Active
CUST-10806,106496.64,,,,,
CUST-10266,20566.79,,,,,
CUST-10948,22223.28,,,,,
CUST-10084,93571.49,,Pending,,,
CUST-10967,43691.04,,,,,
CUST-10523,86426.41,,,,,
CUST-10061,44418.6,,,,,
CUST-11131,244579.04,,,,,
CUST-10456,136587.82,,,,,
CUST-10356,60647.55,,,,,
CUST-11408,247293.32,,,,,
CUST-10598,76355.53,,,,,
CUST-11223,93182.13,,,,,
CUST-10235,228732.15,,,,,
CUST-11389,242083.32,,,,,
CUST-10838,9637.03,24749.09,,,,
CUST-10952,141007.55,,,,,
