account_id,customer_id,is_active
ACC-50008,CUST-11290,True
ACC-50031,CUST-10537,True
ACC-50043,CUST-10793,True
ACC-50047,CUST-10291,True
ACC-50048,CUST-10593,True
ACC-50082,CUST-10726,True
ACC-50086,CUST-10738,False
ACC-50121,CUST-10083,True
ACC-50132,CUST-11293,True
ACC-50133,CUST-10650,True
ACC-50149,CUST-11136,True
ACC-50152,CUST-11351,True
ACC-50182,CUST-10014,True
ACC-50196,CUST-10828,True
ACC-50200,CUST-10020,True
ACC-50209,CUST-10496,True
ACC-50248,CUST-11434,True
ACC-50263,CUST-11063,False
ACC-50272,CUST-10130,True
ACC-50311,CUST-10427,True
ACC-50326,CUST-10731,True
ACC-50349,CUST-11449,False
ACC-50362,CUST-11281,True
ACC-50367,CUST-10133,True
ACC-50402,CUST-11324,False
ACC-50458,CUST-11238,True
ACC-50470,CUST-10749,False
ACC-50004,CUST-10094,True
ACC-50014,CUST-11129,True
ACC-50026,CUST-11450,False
ACC-50037,CUST-10745,False
ACC-50038,CUST-11436,False
ACC-50091,CUST-10358,True
ACC-50107,CUST-10832,True
ACC-50142,CUST-11392,True
ACC-50144,CUST-10923,True
ACC-50146,CUST-11176,True
ACC-50202,CUST-10697,False
ACC-50223,CUST-10928,True
ACC-50226,CUST-10129,True
ACC-50233,CUST-11327,True
ACC-50261,CUST-11395,True
ACC-50264,CUST-10706,True
ACC-50267,CUST-11238,False
ACC-50281,CUST-10038,True
ACC-50337,CUST-11257,True
ACC-50347,CUST-10295,True
ACC-50351,CUST-11294,True
ACC-50368,CUST-10498,True
ACC-50376,CUST-10091,True
ACC-50412,CUST-10394,True
ACC-50419,CUST-10805,True
ACC-50425,CUST-10547,False
ACC-50464,CUST-11067,True
ACC-50475,CUST-10638,False
ACC-50498,CUST-10328,True
ACC-50499,CUST-10932,True
ACC-50017,CUST-10534,False
ACC-50019,CUST-11042,True
ACC-50066,CUST-11190,True
ACC-50071,CUST-10149,True
ACC-50098,CUST-10503,True
ACC-50150,CUST-11119,True
ACC-50153,CUST-10750,True
ACC-50161,CUST-10334,True
ACC-50168,CUST-11022,False
ACC-50192,CUST-11269,True
ACC-50222,CUST-11111,False
ACC-50230,CUST-10881,False
ACC-50252,CUST-10853,True
ACC-50271,CUST-11004,True
ACC-50308,CUST-10106,True
ACC-50348,CUST-10081,True
ACC-50385,CUST-11127,True
ACC-50387,CUST-10167,False
ACC-50396,CUST-11327,True
ACC-50420,CUST-10735,True
ACC-50445,CUST-11357,True
ACC-50452,CUST-10316,False
ACC-50023,CUST-10071,True
ACC-50025,CUST-10180,True
ACC-50030,CUST-10527,False
ACC-50040,CUST-10263,True
ACC-50054,CUST-10806,True
ACC-50059,CUST-10266,False
ACC-50064,CUST-10948,False
ACC-50080,CUST-10084,True
ACC-50116,CUST-10967,True
ACC-50125,CUST-10523,True
ACC-50131,CUST-10061,False
ACC-50155,CUST-11131,False
ACC-50181,CUST-10456,False
ACC-50191,CUST-10356,False
ACC-50201,CUST-11408,True
ACC-50213,CUST-10598,True
ACC-50218,CUST-11223,True
ACC-50220,CUST-10235,False
ACC-50244,CUST-11389,True
ACC-50273,CUST-10838,False
ACC-50341,CUST-10952,True
